date,tester,computer,cpu,core,ram,ssd,hdd,os_version,postgres_version,docker_image_id,arch,scaling_factor,partitions,partition_method,client_mode,clients,threads,trans_per_client,tps,average_connection_time,latency_average,latency_stddev
2024-09-27:23:00:00,donsez,MacBook Pro 2020,Apple Silicon M1,4 hiperf + 4 lowpower,16,1024,0,Mac OS 15.0,16.4 (Debian 16.4-1.pgdg120+1),75282fa229a1,linux/arm64,10,0,range,simple,100,4,20,72.648287,49.349,1155.258,1110.821
2024-11-01:17:10:00,victor,VivoBook_ASUSLaptop X712DA_M712DA,AMD Ryzen 7 3700U,4,16,437,0,Ubuntu 22.04.3 LTS, 17.0 (Debian 17.0-1.pgdg120+1),14a603c5f403, linux/x86_64,10,0,range,simple,100,4,20,263.009162,13.301,315.523, 286.251
2024-11-01:17:37:00,victor,VivoBook_ASUSLaptop X712DA_M712DA,AMD Ryzen 7 3700U,4,16,437,0,Ubuntu 22.04.3 LTS, 17.0 (Debian 17.0-1.pgdg120+1),14a603c5f403, linux/x86_64,10,0,range, extended,100,4,20, 256.507252, 13.707, 323.827, 264.462
2024-11-01:17:39:00,victor,VivoBook_ASUSLaptop X712DA_M712DA,AMD Ryzen 7 3700U,4,16,437,0,Ubuntu 22.04.3 LTS, 17.0 (Debian 17.0-1.pgdg120+1),14a603c5f403, linux/x86_64,10,0,range, prepared,100,4,20, 218.388608, 13.228, 364.655,477.830
2024-11-01:17:59:00,lucas,HP HP ENVY x360 Convertible 15-ed1xxx,Intel® Core™ i7-1165G7,4,16,1024,0,Ubuntu 22.04.3 LTS, 17.0 (Debian 17.0-1.pgdg120+1),14a603c5f403,linux/x86_64,10,0,range,simple,100,4,20, 384.103640, 8.426, 210.695, 239.975
